Comment,Designator,Footprint,LCSC Part #,JLC Class,Qty
100nF 50V X7R 1206,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C70",C_1206_3216Metric,C24497,Basic,69
1uF 50V X7R 1206,C69,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848,Basic,1
10k 1% 1206,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R48,R49",R_1206_3216Metric,C17902,Basic,45
10M 1% 1206,"R44,R45,R46,R47",R_1206_3216Metric,C26119,Basic,4
TLV9061IDBVR,"U1,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U43,U92,U132",SOT-23-5,C398358,Extended,29
AD5160BRJZ10-RL7,"U28,U29,U30,U31,U32,U33,U34,U35,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U100,U101,U102,U103,U104,U105,U106,U107,U108,U109,U110,U111,U112,U113,U114,U115,U116,U117,U118,U119,U120,U121,U122,U123,U124,U125,U126,U127,U128,U129,U130,U131",SOT-23-8,C40097,Extended,64
SN74HC595 shift register,"U36,U37,U38,U39,U93,U94,U95,U96",SOIC-16_3.9x9.9mm_P1.27mm,C5947,Basic,8
